,Zone,Resort Name,State,Base Elevation (ft),Top Elevation (ft),Snowfall Score,Total Snow Score With Preservation,Overall Ranking,Regional Ranking,State Ranking,True Snow Per Year (inches),Snow Quality Rank,Dump Potential Rank,MonthsMoreThan90Snow,MonthsLessThan30Snow,latitude,longitude,Acreage,Total Runs,Longest Run (ft),Lifts,Uphill Max (ppl/hr),Terrain Parks,Halfpipes
107,Rockies,Red Lodge,MT,7016,9416,41.0,53.3,89,49,6,200, 109, 148,1.0,40.0,45.191292,-109.337747,1600 ,71,13200 ,7,10690  ,0,0
108,Rockies,Discovery,MT,5770,8158,42.2,53.3,107,55,9,215, 108, 135,1.0,40.0,46.332884,-113.294495,2200 ,67,7920 ,8,  ,0,0
109,Canadian-Rockies,Red Mountain,BC,3888,6800,50.8,53.0,40,4,5,274, 110, 98,5.6,20.5,49.102819,-117.822109,1686 ,88,23760 ,6,7500  ,0,0
110,Rockies,Pajarito Mountain,NM,9000,10440,32.2,52.9,150,67,5,160, 111, 190,1.0,55.0,35.895204,-106.390639,300 ,40,4800 ,6,6500  ,1,0
111,East,Jay Peak,VT,1815,3968,68.8,52.4,60,2,2,322, 113, 30,22.2,7.4,44.93757,-72.500092,385 ,76,15840 ,8,12175  ,0,0
112,Sierras,Diamond Peak,NV,6700,8540,53.4,52.4,95,12,2,300, 112, 87,25.0,35.0,39.254023,-119.915668,655 ,30,13200 ,6,7900  ,1,0
113,Rockies,Ski Apache,NM,9600,11500,36.9,52.3,151,68,6,185, 114, 173,1.0,45.0,33.400778,-105.789612,750 ,55,12145 ,11,16500  ,3,0
114,Northwest,49 Degrees North,WA,3923,5774,53.2,51.9,99,13,6,275, 115, 90,8.0,25.0,48.308318,-117.563721,2325 ,82,13200 ,6,6600  ,1,0
115,BC-Coastal,Cypress Mountain,BC,2990,5000,62.8,51.9,81,2,12,350, 116, 47,22.0,18.0,49.39611,-123.20425,1482 ,53,13200 ,8,5800  ,0,0
116,Rockies,Bogus Basin,ID,5800,7582,49.4,51.5,63,36,3,246, 118, 104,6.0,30.0,43.643544,-116.207267,2600 ,52,7920 ,8,9980  ,0,0
117,Canadian-Rockies,Mount Seymour,BC,3067,4150,62.8,51.5,135,18,18,350, 119, 48,22.0,18.0,49.364412,-122.948437,200 ,39,5249 ,5,5218  ,0,0
118,Rockies,Ski Granby,CO,8202,9202,41.8,51.5,143,65,23,200, 117, 137,1.0,40.0,40.333983,-106.015749,406 ,37,7920 ,6,6000  ,6,0
119,Canadian-Rockies,Lake Louise,AB,5400,8650,30.1,51.2,67,9,2,171, 120, 195,0.0,62.2,51.442336,-116.161341,4200 ,139,26400 ,9,15499  ,0,0
120,Rockies,Sipapu,NM,8200,9255,37.9,51.1,157,70,7,190, 121, 165,1.0,48.0,36.154752,-105.548211,200 ,41,10560 ,5,2900  ,2,0
121,Rockies,Pebble Creek,ID,6300,8560,40.0,51.1,105,54,9,225, 123, 152,5.0,35.0,42.778945,-112.159298,1100 ,54,6000 ,3,3600  ,0,0
122,BC-Coastal,Grouse Mountain,BC,2890,4100,62.8,51.1,112,3,17,350, 122, 49,22.0,18.0,49.380588,-123.079896,212 ,26,5280 ,5,  ,0,0
